hour,fixed_load,PV,t,price,temperature
2019-06-01 00:00:00,1.85875,0.0,0,0.0182414166666666,18.65
2019-06-01 01:00:00,1.79325,0.0,1,0.0182330833333333,16.961111111111112
2019-06-01 02:00:00,0.908,0.0,2,0.01467725,15.155555555555557
2019-06-01 03:00:00,0.4035,0.0,3,0.01377175,13.577777777777778
2019-06-01 04:00:00,0.46875,0.0,4,0.0104154166666666,12.711111111111114
2019-06-01 05:00:00,0.4415,0.102,5,0.012801,13.183333333333332
2019-06-01 06:00:00,0.454,0.2014999999999999,6,0.0132713333333333,13.08888888888889
2019-06-01 07:00:00,0.8714999999999999,1.17425,7,0.01131325,12.96111111111111
2019-06-01 08:00:00,1.05625,1.50375,8,0.0126085,13.7
2019-06-01 09:00:00,0.599,1.4885000000000002,9,0.0172281666666666,14.627777777777778
2019-06-01 10:00:00,0.887,3.305,10,0.0228258333333333,15.372222222222224
2019-06-01 11:00:00,0.6837500000000003,6.3195,11,0.0253913333333333,16.48888888888889
2019-06-01 12:00:00,0.59575,5.31525,12,0.0236764166666666,17.583333333333332
2019-06-01 13:00:00,0.6520000000000001,5.5625,13,0.02296875,19.616666666666667
2019-06-01 14:00:00,0.6665000000000001,5.44675,14,0.02113425,19.138888888888893
2019-06-01 15:00:00,0.64325,3.0805,15,0.0201991666666666,20.48333333333333
2019-06-01 16:00:00,0.6154999999999999,1.18825,16,0.021983,22.71666666666667
2019-06-01 17:00:00,3.2125000000000004,0.498,17,0.0231634166666666,25.26666666666667
2019-06-01 18:00:00,2.35275,0.163,18,0.0218050833333333,25.35555555555556
2019-06-01 19:00:00,2.1535,0.0,19,0.021699,26.37777777777778
2019-06-01 20:00:00,2.10825,0.0,20,0.0206228333333333,26.40555555555556
2019-06-01 21:00:00,5.50425,0.0045,21,0.0206324166666666,26.294444444444444
2019-06-01 22:00:00,2.7515,0.0,22,0.01945925,25.0
2019-06-01 23:00:00,0.98675,0.0,23,0.0235505833333333,23.57777777777778
2019-06-02 00:00:00,0.43125,0.0,0,0.0150431666666666,22.03888888888889
2019-06-02 01:00:00,0.42675,0.0,1,0.01568325,21.072222222222223
2019-06-02 02:00:00,0.43,0.0,2,0.015737,19.35555555555556
2019-06-02 03:00:00,0.45475,0.0,3,0.0170183333333333,18.63888888888889
2019-06-02 04:00:00,0.46525,0.0,4,0.0179461666666666,18.077777777777783
2019-06-02 05:00:00,0.4299999999999999,0.20675,5,0.0181005,17.494444444444447
2019-06-02 06:00:00,0.41175,0.47075,6,0.0174786666666666,16.666666666666668
2019-06-02 07:00:00,1.70375,0.49775,7,0.0157454166666666,15.972222222222223
2019-06-02 08:00:00,0.9195,0.5855,8,0.012311,16.694444444444443
2019-06-02 09:00:00,0.645,0.8555,9,0.0143833333333333,16.183333333333337
2019-06-02 10:00:00,4.00225,1.30475,10,0.0568571666666666,16.722222222222225
2019-06-02 11:00:00,0.954,2.158,11,0.0250664166666666,16.122222222222224
2019-06-02 12:00:00,1.29675,2.828,12,0.02420775,16.32777777777778
2019-06-02 13:00:00,1.031,0.6345,13,0.0220828333333333,16.294444444444444
2019-06-02 14:00:00,1.6235,0.26225,14,0.0197096666666666,16.561111111111114
2019-06-02 15:00:00,0.8885,1.49625,15,0.0185985,17.938888888888894
2019-06-02 16:00:00,0.685,2.2205000000000004,16,0.0251044166666666,18.672222222222224
2019-06-02 17:00:00,0.5785,1.0745,17,0.0328705833333333,16.97777777777778
2019-06-02 18:00:00,0.58775,0.458,18,0.026195,15.466666666666669
2019-06-02 19:00:00,0.864,0.0235,19,0.0215104166666666,14.105555555555556
2019-06-02 20:00:00,1.09075,0.0,20,0.0363064166666666,14.916666666666668
2019-06-02 21:00:00,0.69275,0.0,21,0.0246836666666666,17.244444444444444
2019-06-02 22:00:00,0.4825,0.0,22,0.01556425,18.377777777777776
2019-06-02 23:00:00,0.47525,0.0,23,0.0143885,18.577777777777776
2019-06-03 00:00:00,0.5275000000000001,0.0,0,0.0155781666666666,17.922222222222224
2019-06-03 01:00:00,0.47475,0.0,1,0.0175944166666666,15.805555555555555
2019-06-03 02:00:00,0.44425,0.0,2,0.01155325,14.161111111111111
2019-06-03 03:00:00,0.43325,0.0,3,0.0099368333333333,13.12777777777778
2019-06-03 04:00:00,0.418,0.0,4,0.0097593333333333,12.550000000000002
2019-06-03 05:00:00,0.495,0.03075,5,0.01077,12.288888888888888
2019-06-03 06:00:00,1.1075000000000002,0.09625,6,0.0068591666666666,11.477777777777776
2019-06-03 07:00:00,0.71025,0.46475,7,0.0162255833333333,10.416666666666668
2019-06-03 08:00:00,0.5022500000000001,2.028,8,0.0169653333333333,9.67777777777778
2019-06-03 09:00:00,0.5347500000000001,2.98575,9,0.0191454166666666,8.95
